Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
26.42,7.146441459655762,8.018994331359863,1.1669055223464966,0.3082384765148163,52.55997467041016,208498737152.0,2138105600.0,-1.0,592056000.0,1104902.625,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.52,7.912270545959473,8.082856178283691,1.2397340536117554,0.3237659037113189,49.93216323852539,208426352640.0,2088963456.0,-1.0,649333824.0,1187759.625,0.0090239336714148,387.0,41.0,11671.0,2.0,50.88348007202149,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.55,7.912270545959473,8.082856178283691,1.2397340536117554,0.3237659037113189,49.93216323852539,208426352640.0,2088963456.0,-1.0,649333824.0,1187759.625,7.185734748840332,263.0,48.0,7855.0,1.0,28.747562408447266,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.62,7.507489204406738,8.00174617767334,1.2102711200714111,0.3183455765247345,52.83259201049805,205310607360.0,2078015872.0,-1.0,615909632.0,1136754.5,7.185734748840332,263.0,48.0,7855.0,1.0,28.747562408447266,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.72,7.265562534332275,8.07657527923584,1.2026907205581665,0.3188223540782928,54.00522994995117,200572387328.0,2038344960.0,-1.0,591178368.0,1096325.375,7.185734748840332,263.0,48.0,7855.0,1.0,28.747562408447266,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.77,7.265562534332275,8.07657527923584,1.2026907205581665,0.3188223540782928,54.00522994995117,200572387328.0,2038344960.0,-1.0,591178368.0,1096325.375,7.733835220336914,106.0,2.0,6330.0,1.0,28.747562408447266,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.82,7.091518402099609,8.032429695129395,1.1694766283035278,0.3323586285114288,49.905029296875,206507458560.0,2113566080.0,-1.0,591695744.0,1101212.125,7.733835220336914,106.0,2.0,6330.0,1.0,28.747562408447266,3163.0,1382.0,3.0,56.0,62.0,60.0,20.0,31.0,31.0,72.0,456.0,2.0,74.01999831199646,0.7040100693702698,2736.0,5.0,70.0,2.1697347164154053
26.87,7.091518402099609,8.032429695129395,1.1694766283035278,0.3323586285114288,49.905029296875,206507458560.0,2113566080.0,-1.0,591695744.0,1101212.125,7.728999137878418,568.0,86.0,13105.0,2.0,39.46229553222656,3163.0,1382.0,3.0,53.0,51.0,55.0,27.0,28.0,32.0,72.0,456.0,2.0,74.70091581344604,0.7040100693702698,2736.0,5.0,70.0,2.171637296676636
26.92,7.509392261505127,8.0481538772583,1.2371644973754885,0.3454238772392273,50.62779998779297,210505367552.0,2132118400.0,-1.0,649263104.0,1194075.0,7.728999137878418,568.0,86.0,13105.0,2.0,39.46229553222656,3163.0,1382.0,3.0,53.0,51.0,55.0,27.0,28.0,32.0,72.0,456.0,2.0,74.70091581344604,0.7040100693702698,2736.0,5.0,70.0,2.171637296676636
27.01,7.509392261505127,8.0481538772583,1.2371644973754885,0.3454238772392273,50.62779998779297,210505367552.0,2132118400.0,-1.0,649263104.0,1194075.0,0.0090239336714148,387.0,41.0,11671.0,2.0,39.46229553222656,3163.0,1382.0,3.0,53.0,51.0,55.0,27.0,28.0,32.0,72.0,456.0,2.0,74.70091581344604,0.7040100693702698,2736.0,5.0,70.0,2.171637296676636
